transaction_id,customer_id,product_id,amount,payment_mode,date,name,age_x,gender_x,city,signup_date,income,product_name,price,stock,amount_missing_flag,zscore,days_since_last_purchase,payment_mode_label,payment_mode_ordinal,category_Audio,category_Computer,category_Electronics,category_Mobile Accessories,category_Networking,category_Storage,category_Wearable,income_bin,amount_std,amount_minmax,amount_robust,amount_norm,amount_maxabs,purchase_per_day,log_amount,sqrt_amount,amount_power,high_value_customer
T1000,238.0,P020,18249.0,Cash,2025-01-02,Customer_137,56.0,Male,Ahmedabad,2023-05-18,94460.0,Microphone,2999.0,20.0,0.0,-0.038571912029094005,364,0,0.0,True,False,False,False,False,False,False,"(14833.0, 22107.5]",0.4112145445535853,0.6148396418837836,0.2285255552582285,1.0,0.6237268439401189,49.9972602739726,9.811920359010637,135.08885964430968,0.4690514721969423,0
T1001,224.0,P007,18674.0,Cash,2025-08-14,Customer_123,44.0,Female,Mumbai,2023-05-04,86703.0,Laptop Stand,1499.0,35.0,0.0,-0.029978643853351108,140,0,0.0,False,True,False,False,False,False,False,"(14833.0, 22107.5]",0.46090232253136015,0.6297086719682047,0.25695745250200697,1.0,0.638252785562923,132.43971631205673,9.834941010001018,136.65284482951682,0.5130321421971261,0
T1002,281.0,P015,12361.0,Cash,2025-10-04,Customer_180,20.0,Male,Mumbai,2023-06-30,39870.0,Router,1999.0,30.0,0.0,-0.15762406030856266,89,0,0.0,False,False,False,False,True,False,False,"(7159.5, 14833.0]",-0.2771657771714459,0.40884234979655665,-0.16537329408616538,1.0,0.4224827397634835,137.34444444444443,9.422382530219219,111.18003417880388,-0.17326754968259192,0
T1003,202.0,P010,21454.0,Cash,2025-01-22,Customer_101,120.0,Female,Delhi,2023-04-12,89896.0,Wireless Charger,1299.0,50.0,0.0,0.02623143974327302,344,0,0.0,False,False,False,True,False,False,False,"(14833.0, 22107.5]",0.7859188467153932,0.7269696216968886,0.4429355097671929,1.0,0.7332695331191469,62.18550724637681,9.973712997425626,146.47184029703456,0.7944000986974213,1
T1004,268.0,P003,21270.0,UPI,2025-10-01,Customer_167,26.0,Female,Mumbai,2023-06-17,62348.0,Smart Watch,1299.0,25.0,0.0,0.022511060109539623,92,3,3.0,False,False,False,False,False,False,True,"(14833.0, 22107.5]",0.764406961661486,0.7205322063191627,0.4306261707251806,1.0,0.7269806548636271,228.70967741935485,9.96509992166365,145.84238067173752,0.7760946911684277,1
T1005,241.0,P009,20360.0,Cash,2025-11-22,Customer_140,53.0,,Bangalore,2023-05-21,26801.0,USB Cable,199.0,100.0,0.0,0.004111356486184244,40,0,0.0,False,False,False,False,False,False,False,"(14833.0, 22107.5]",0.6580166605796622,0.6886949889619317,0.36974846133261974,1.0,0.6958780504477408,496.5853658536585,9.921376585371869,142.68847185389575,0.684923930517639,1
T1006,231.0,P013,18305.0,Debit Card,2025-09-09,Customer_130,49.0,Male,Bangalore,2023-05-11,31174.0,Monitor,8999.0,25.0,0.0,-0.03743962257534906,114,2,2.0,False,True,False,False,False,False,False,"(14833.0, 22107.5]",0.4177616400047745,0.6167988552596132,0.23227187583623227,1.0,0.6256408503657119,159.17391304347825,9.814984153944724,135.2959718543017,0.4748622634731238,0
T1007,298.0,P019,28641.0,UPI,2025-01-16,Customer_197,21.0,Male,Bangalore,2023-07-17,23709.0,Webcam,1499.0,25.0,0.0,0.1715486594587182,350,3,3.0,False,True,False,False,False,False,False,"(22107.5, 29258.0]",1.6261684004242587,0.9784136669127345,0.9237356168049238,1.0,0.9789117506323057,81.5982905982906,10.262629451038649,169.23652088128023,1.4801455462513948,1
T1008,290.0,P009,6030.0,UPI,2025-10-16,Customer_189,50.0,Male,Bangalore,2023-07-09,113714.0,USB Cable,199.0,100.0,0.0,-0.2856334269453351,77,3,3.0,False,False,False,False,False,False,False,"(675.099, 7159.5]",-1.0173383004121344,0.1873462804683919,-0.5889082151458389,1.0,0.20609747761296054,77.3076923076923,8.704668113450987,77.6530746332687,-0.9696486167848672,0
T1009,228.0,P003,4726.0,UPI,2025-08-07,Customer_127,43.0,Male,Ahmedabad,2023-05-08,109780.0,Smart Watch,1299.0,25.0,0.0,-0.3119995956539674,147,3,3.0,False,False,False,False,False,False,True,"(675.099, 7159.5]",-1.1697920944898246,0.141724597574074,-0.6761439657479261,1.0,0.1615284708455807,31.93243243243243,8.461046030793236,68.74590896918885,-1.1580599203533737,0
T1010,260.0,P006,24585.0,Credit Card,2025-12-31,Customer_159,44.0,Female,Bangalore,2023-06-09,144097.0,Power Bank,2599.0,20.0,0.0,0.08953855188033422,1,1,1.0,False,False,False,True,False,False,False,"(22107.5, 29258.0]",1.1519716298881297,0.8365106409776474,0.6523949692266524,1.0,0.8402829995214984,12292.5,10.109932454227286,156.79604586851033,1.0997500901573418,1
T1011,294.0,P012,10242.0,Unknown,2025-12-24,Customer_193,43.0,Female,Mumbai,2023-07-13,106188.0,Smartphone,24999.0,20.0,0.0,-0.20046908446009018,8,4,4.0,False,False,True,False,False,False,False,"(7159.5, 14833.0]",-0.5249031925476927,0.33470711509329004,-0.30713138881455715,1.0,0.3500581037664912,1138.0,9.234349824436535,101.20276676059801,-0.4237367690530531,0
T1012,234.0,P020,14291.0,Cash,2025-10-26,Customer_133,21.0,Female,Bangalore,2023-05-14,123033.0,Microphone,2999.0,20.0,0.0,-0.11860051306342433,67,0,0.0,True,False,False,False,False,False,False,"(7159.5, 14833.0]",-0.05152480894296251,0.47636523935639835,-0.036259031308536256,1.0,0.4884476040740994,210.16176470588235,9.5674552191433,119.5449706177554,0.044891790580301086,0
T1013,120.0,P007,11021.0,Cash,2025-07-25,Customer_19,55.0,Male,Delhi,2023-01-20,40764.0,Laptop Stand,1499.0,35.0,0.0,-0.18471812938031673,160,0,0.0,False,True,False,False,False,False,False,"(7159.5, 14833.0]",-0.4338284183249007,0.3619611725892054,-0.25501739363125503,1.0,0.3766833002939367,68.45341614906832,9.307648554443182,104.9809506529637,-0.33016599209711617,0
T1014,228.0,P016,1252.0,Cash,2025-04-30,Customer_127,43.0,Male,Ahmedabad,2023-05-08,109780.0,SSD 512GB,3999.0,40.0,0.0,-0.3822419806952164,246,0,0.0,False,False,False,False,False,True,False,"(675.099, 7159.5]",-1.5759458373010948,0.0201833963663589,-0.9085496387476586,1.0,0.042791715086472074,5.068825910931174,7.133295954896068,35.38361202590826,-1.7588250498270173,0
T1015,299.0,P013,27209.0,Debit Card,2025-08-13,Customer_198,28.0,Female,Delhi,2023-07-18,143961.0,Monitor,8999.0,25.0,0.0,0.14259440057009742,141,2,2.0,False,True,False,False,False,False,False,"(22107.5, 29258.0]",1.4587498167438502,0.9283137820165203,0.8279368477388279,1.0,0.929967872034999,191.61267605633802,10.211339831777291,164.95150802584376,1.3476167292705157,1
T1017,225.0,P010,9159.0,UPI,2025-01-01,Customer_124,26.0,,Bangalore,2023-05-05,47192.0,Wireless Charger,1299.0,50.0,0.0,-0.22236675371733622,365,3,3.0,False,False,False,True,False,False,False,"(7159.5, 14833.0]",-0.6515193420769402,0.29681732784287107,-0.3795825528498796,1.0,0.31304258664296947,25.024590163934427,9.122601457668177,95.7026645397086,-0.5570948076284027,0
T1018,228.0,P020,28441.0,Cash,2025-03-07,Customer_127,43.0,Male,Ahmedabad,2023-05-08,109780.0,Microphone,2999.0,20.0,0.0,0.16750476855248625,300,0,0.0,True,False,False,False,False,False,False,"(22107.5, 29258.0]",1.6027859166700118,0.9714164762847715,0.9103559004549103,1.0,0.972076013398045,94.48837209302326,10.255622204932642,168.64459671154603,1.4617453212189007,1
T1019,235.0,P015,5966.0,Debit Card,2025-04-25,Customer_134,47.0,Female,Delhi,2023-05-15,29348.0,Router,1999.0,30.0,0.0,-0.2869274720353293,251,2,2.0,False,False,False,False,True,False,False,"(675.099, 7159.5]",-1.0248206952134933,0.1851071794674438,-0.5931897243778432,1.0,0.20391004169799712,23.674603174603174,8.693999567522082,77.23988606931007,-0.9786198695922583,0
T1020,275.0,P013,28309.0,Unknown,2025-08-19,Customer_174,49.0,Male,Ahmedabad,2023-06-24,57080.0,Monitor,8999.0,25.0,0.0,0.16483580055437316,135,4,4.0,False,True,False,False,False,False,False,"(22107.5, 29258.0]",1.5873534773922087,0.966798330470316,0.9015252876639015,1.0,0.9675644268234329,208.15441176470588,10.250970378105945,168.25278600962304,1.4495820386464604,1
T1021,269.0,P010,3372.0,Cash,2025-11-28,Customer_168,54.0,Male,Mumbai,2023-06-18,46432.0,Wireless Charger,1299.0,50.0,0.0,-0.3393767370891577,34,0,0.0,False,False,False,True,False,False,False,"(675.099, 7159.5]",-1.3280915095060766,0.09435361702276535,-0.7667246454375167,1.0,0.11525052976963565,96.34285714285714,8.12355783506165,58.0689245638319,-1.369435435249745,0
